"Nr_Arrest","naam","new_tags"
"1617/0201","Jens","Overname eensluidend PSA-verslag"
"1617/0201","Jens","Hoorzitting"
"1617/0201","Jens","Aanvullende nota"
"1617/0201","Jens","tweede PSA –verslag"
"1617/0201","Jens","Zorgvuldig onderzoek en afdoende motivering"
"1617/0201","Jens","Uitdrukkelijke verwijzing naar aanvullende nota"
"1617/0201","Jens","Kritiek op overtollige motieven"
"1617/0207","Jona","Verwerping vernietiging"
"1617/0207","Jona","Ongegrond "
"1617/0207","Jona","Registratiebeslissing"
"1617/0207","Jona","opname als tuinhuis i.p.v. woning "
"1617/0207","Jona","Artikel 4.8.11, § 2 VCRO"
"1617/0207","Jona","Ontvankelijkheid"
"1617/0207","Jona","Tijdigheid"
"1617/0207","Jona","Impliciete weigering van opname in vergunningenregister als woning"
"1617/0207","Jona","Betekening vereist"
"1617/0207","Jona","Artikel 35 decreet openbaarheid van bestuur"
"1617/0207","Jona","Niet vermelden beroepsmogelijkheden"
"1617/0207","Jona","Termijn van 4 maanden ["
"1617/0207","Jona","Navigator]"
"1617/0207","Jona","Artikel 4.2.14 VCRO"
"1617/0207","Jona","Vermoeden van vergunning –- "
"1617/0207","Jona","Artikel 5.1.3, §§ 1 en 2 VCRO"
"1617/0207","Jona","Opname in vergunningenregister"
"1617/0207","Jona","Vraag naar vergund (geacht) karakter van de functie"
"1617/0207","Jona","Bewijslast VZP"
"1617/0207","Jona","Vraag naar bijkomend bewijs bewoning onbeantwoord"
"1617/0207","Jona","Voldaan aan actieve onderzoeksplicht."
"1617/0238","Michelle","Nagelezen door "
"1617/0238","Michelle","Sofie"
"1617/0238","Michelle","Ongegrond "
"1617/0238","Michelle","Weigeringsbeslissing functiewijziging"
"1617/0238","Michelle","Onverenigbaarheid met goede RO"
"1617/0238","Michelle","Visueel storend"
"1617/0238","Michelle","Niet onredelijk geoordeeld"
"1617/0238","Michelle","Overtollig motief"
"1617/0249","Thibault","Vernietiging "
"1617/0249","Thibault","Verkavelingsvergunning 12 kavels "
"1617/0249","Thibault","Het indienen van een nieuwe (gewijzigde) verkavelingsaanvraag impliceert niet dat verzaakt wordt aan de verworven verkavelingsvergunning ["
"1617/0249","Thibault","Navigator]"
"1617/0249","Thibault","Artikel 4.3.1, §1, eerste lid, 1° en 2° VCRO"
"1617/0249","Thibault","Weigering in geval van strijdigheid met stedenbouwkundige voorschriften"
"1617/0249","Thibault","Artikel 4.2.19, §1 voorwaarden"
"1617/0249","Thibault","Beperkte planaanpassingen"
"1617/0249","Thibault","Geen substantiële wijziging"
"1617/0249","Thibault","5 kavels onverenigbaar met GRO"
"1617/0249","Thibault","deze kavels worden uit de verkavelingsvergunning gesloten"
"1617/0249","Thibault","Wijziging van de aanvraag, vergunning andere verkaveling"
"1617/0249","Thibault","Geen beperkte planaanpassing ["
"1617/0249","Thibault","Navigator]"
"1617/0250","Ingrid","Vernietiging SBV "
"1617/0250","Ingrid","Uitbreiding bestaand bedrijf met derde kippenstal, betonverharding en 3 meelsilo’s M1 + 4"
"1617/0250","Ingrid","Verstrengde motiveringsplicht t.a.v. knelpunten eerder vernietigingsarrest"
"1617/0250","Ingrid","Onbevoegdheid van de "
"1617/0250","Ingrid","Raad om onvergunbaarheid vast te stellen"
"1617/0250","Ingrid","artikel 37 DBRC-decreet"
"1617/0250","Ingrid","Mogelijkheid om een injunctie op te leggen, voor zover opportuun na beoordeling ten gronde"
"1617/0250","Ingrid","Verenigbaarheid met GRO"
"1617/0250","Ingrid","Mobiliteit"
"1617/0250","Ingrid","Toegangsweg"
"1617/0250","Ingrid","Geen (zorgvuldig) onderzoek ["
"1617/0250","Ingrid","Navigator]-  "
"1617/0250","Ingrid","Geurhinder"
"1617/0250","Ingrid","Uit de milieuvergunningen blijkt dat de geurconcentratie onaanvaardbaar is"
"1617/0250","Ingrid","Geen (zorgvuldig) onderzoek naar geurhinder."
"1617/0250","Ingrid","Artikel 4.7.23, § 1, eerste lid VCRO"
"1617/0250","Ingrid","Andersluidend PSA-verslag"
"1617/0250","Ingrid","Gebrek aan motivering –"
"1617/0250","Ingrid","Injunctie M2: "
"1617/0250","Ingrid","Artikel 4.3.2, §2bis DABM en bijlage II bij het DABM "
"1617/0250","Ingrid","Gezag van gewijsde vernietigingsarrest"
"1617/0250","Ingrid","Geen "
"1617/0250","Ingrid","Mer-screening"
"1617/0250","Ingrid","Injunctie ["
"1617/0250","Ingrid","Navigator]M3: "
"1617/0250","Ingrid","Artikel 8, §§1 en 2 van het decreet "
"1617/0250","Ingrid","Integraal "
"1617/0250","Ingrid","Waterbeleid"
"1617/0250","Ingrid","Geen watertoets"
"1617/0250","Ingrid","Gebrek aan formele motivering"
"1617/0250","Ingrid","Injunctie"
"1617/0252","Jona","Verwerping vernietiging"
"1617/0252","Jona","Ongegrond "
"1617/0252","Jona","Weigering SBV afbraak en bouw meergezinswoning "
"1617/0252","Jona","Artikel 4.3.1, §1, 1° b) VCRO"
"1617/0252","Jona","Eensluidend PSA-verslag"
"1617/0252","Jona","Verenigbaarheid met GRO"
"1617/0252","Jona","In de omgeving bestaande toestand"
"1617/0252","Jona","Watertoets"
"1617/0252","Jona","Bijkomend onderzoek"
"1617/0252","Jona","VZP toont niet aan dat het kennelijk onredelijk is om geen ondergrondse parkeerruimtes toe te laten in overstromingsgevoelig gebied"
"1617/0252","Jona","Schaalbreuk"
"1617/0252","Jona","Niet foutief of kennelijk onredelijk"
"1617/0252","Jona","Artikel 4.7.23 en 4.7.22 VCRO"
"1617/0252","Jona","Idem voorgaande middel inzake watertoets"
"1617/0252","Jona","Overtollige motieven"
"1617/0247","Ben","Verwerping vernietiging"
"1617/0247","Ben","Ongegrond SBV aanleggen van parking en toegangsweg"
"1617/0247","Ben","Schending artikel 5.1.0 "
"1617/0247","Ben","Inrichtingsbesluit"
"1617/0247","Ben","Geen verduidelijking van de schending"
"1617/0247","Ben","Onontvankelijk middelenonderdeel"
"1617/0247","Ben","Artikel 4.3.1., §1, eerste lid, 1°, b) VCRO –"
"1617/0247","Ben","Verenigbaarheid met GRO"
"1617/0247","Ben","Artikel 5.3.1, §1, eerste lid VCRO"
"1617/0247","Ben","Stedenbouwkundig attest"
"1617/0247","Ben","Bevindingen kunnen in principe niet worden tegen gesproken of gewijzigd –"
"1617/0247","Ben","Gezaghebbend advies"
"1617/0247","Ben","Geen openbaar onderzoek n.a.l.v. stedenbouwkundig attest"
"1617/0247","Ben","nieuwe feiten moeten aan beoordeling worden onderworpen ["
"1617/0247","Ben","Navigator (punt 5.)]"
"1617/0247","Ben","Geen verplichting om alternatieve ontsluiting te onderzoeken [ev. navigtor]"
"1617/0247","Ben","Opportuniteitskritiek –"
"1617/0247","Ben","Beoordeling niet foutief of kennelijk onredelijk."
"1718/0363","Sacha","Schorsing bevolen SBV fietsostrade, rooien van bomen en houtkant."
"1718/0363","Sacha","Artikel 40, §1 DBRC-"
"1718/0363","Sacha","Decreet"
"1718/0363","Sacha","Hoogdringendheid in concreto-"
"1718/0363","Sacha","Geen hoogdringendheid in hoofde van eerste VZP –NV kan geen zintuiglijke hinder leiden"
"1718/0363","Sacha","Niet afdoende uiteengezet waarom de waardevermindering van haar eigendom de hoogdringendheid verantwoord ["
"1718/0363","Sacha","Navigator]"
"1718/0363","Sacha","Hoogdringdheid tav. "
"1718/0363","Sacha","Tweede VZP"
"1718/0363","Sacha","Verwijzing naar UDN niet nuttig, aangezien andere aanvraag"
"1718/0363","Sacha","Hoogdringende onteigeningsprocedure verantwoord hoogdringendheid i.k.v. schorsingberoep niet"
"1718/0363","Sacha","ernstige (tijdelijke) hinder en nadelen –"
"1718/0363","Sacha","Aantasting leefomgeving"
"1718/0363","Sacha","Uitzicht en privacy [navigator]"
"1718/0363","Sacha","Ernstig middel"
"1718/0363","Sacha","Artikel 4.2.19 VCRO"
"1718/0363","Sacha","Opleggen van voorwaarden"
"1718/0363","Sacha","in verhouding staan tot de vergunde handelingen"
"1718/0363","Sacha","voldoende precies zijn"
"1718/0363","Sacha","Meerdere voorwaarden opleggen vormt op zich geen schending van artikel 4.2.19 VCRO"
"1718/0363","Sacha","Voorwaarden zijn niet tegenstrijdig, wel onduidelijkheid over realisatie groenzone"
"1718/0363","Sacha","Voorwaarde uit advies NB genegeerd"
"1718/0363","Sacha","Kennelijk onzorgvuldig"
"1718/0363","Sacha","Voorwaarde aanleg gracht onvoldoende precies ["
"1718/0363","Sacha","Navigator]"
"1718/0363","Sacha","Artikel 40, §5, tweede lid DBRC-"
"1718/0363","Sacha","Decreet"
"1718/0363","Sacha","Belangenafweging ["
"1718/0363","Sacha","Navigator]"
"1516/0745","Jens","Samenhang met 1617/0040 en 1718/0122"
"1516/0745","Jens","Verwerping vernietiging SBV vernieuwen van weginfrastructuur en aanhorigheden (voetpaden, langsgrachten, parkeerplaatsen, groenzones) en aanleggen van een gescheiden rioleringssysteem"
"1516/0745","Jens","Artikel 4.4.7, §1 VCRO"
"1516/0745","Jens","Geen uiteenzetting schending"
"1516/0745","Jens","Middelenonderdeel onontvankelijk"
"1516/0745","Jens","Aanvulling in WA niet nieuw"
"1516/0745","Jens","Geen toevoeging –"
"1516/0745","Jens","Exceptie verworpen."
"1516/0745","Jens","Artikel 4.7.23, § 1 VCRO"
"1516/0745","Jens","Hoorplicht"
"1516/0745","Jens","Nuttig horen"
"1516/0745","Jens","PSA-verslag voor zitting overgemaakt"
"1516/0745","Jens","Mogelijkheid benut om bezwaren kenbaar te maken op de hoorzitting"
"1516/0745","Jens","Aanvullende nota"
"1516/0745","Jens","Mogelijkheid om eventueel bijkomende opmerkingen te laten gelden niet benut"
"1516/0745","Jens","Geen bijkomende hoorzitting vereist [navigator] –"
"1516/0745","Jens","Fairplay-beginsel vereist kwaad opzet [navigator]"
"1516/0745","Jens","Schending hoorplicht en fairplay-beginsel niet aangetoond"
"1516/0745","Jens","Artikel 4.2.25 VCRO"
"1516/0745","Jens","Geen nieuwe gemeenteraadsbeslissing over zaak der wegen"
"1516/0745","Jens","Geen verlenging beslissingstermijn"
"1516/0745","Jens","Artikel 10 besluit openbaar onderzoek"
"1516/0745","Jens","Mogelijkheid voor de gemeenteraad om in graad van administratief beroep alsnog een beslissing over de zaak van de wegen te nemen"
"1516/0745","Jens","Reeds beslissing over zaak van de wegen"
"1516/0745","Jens","instellen administratief beroep tegen de beslissing over de zaak van de wegen, vereist  geen nieuwe beslissing over zaak der wegen [navigator]"
"1516/0745","Jens","schrappen van paviljoenen uit vergunning heeft geen invloed op wegenis- bezwaarschrift vermeld en beantwoord"
"1516/0745","Jens","M2 MO1: "
"1516/0745","Jens","Gebrek aan riolerings- en mobiliteitstudie"
"1516/0745","Jens","onvolledigheid aanvraagdossier"
"1516/0745","Jens","Geen schending van het dossiersamenstellingsbesluit aangevoerd"
"1516/0745","Jens","vergunningverlenende overheid beoordeelt of elementen essentieel zijn om met kennis van zaken te kunnen beslissen"
"1516/0745","Jens","Advies ambtelijke commissie heeft betrekking op subsidie"
"1516/0745","Jens","bijsturing middel in WAN"
"1516/0745","Jens","Advies waterlopen"
"1516/0745","Jens","Geen schadelijke effecten te verwachten"
"1516/0745","Jens","planaanpassingen vereisen geen bijkomend advies"
"1516/0745","Jens","Niet aangetoond dat mobiliteitsstudie vereist is. MO2: onjuiste advisering en gebrek aan voorwaarden i.v.m. zorgplicht archeologie"
"1516/0745","Jens","Middel onontvankelijk wegens onduidelijk en in het algemeen belang"
"1516/0745","Jens","Kan VZP geen voordeel verschaffen"
"1516/0745","Jens","MO3: "
"1516/0745","Jens","Artikel 4.4.7, §1 VCRO"
"1516/0745","Jens","Artikel 3, §1 van het besluit van 5 mei 2000 –"
"1516/0745","Jens","Afwijking bestemming"
"1516/0745","Jens","Handelingen van algemeen belang met ruimtelijk beperkte impact"
"1516/0745","Jens","Oudere, maar identieke versie"
"1516/0745","Jens","In concreto beoordeling van de ruimtelijke impact van het aangevraagde niet vereist is [navigator].M3: "
"1516/0745","Jens","Artikel 2 "
"1516/0745","Jens","Besluit "
"1516/0745","Jens","Project-"
"1516/0745","Jens","Mer-screening"
"1516/0745","Jens","Gebrek aan verduidelijking van het middel"
"1516/0745","Jens","Uitbreiding middel in WAN"
"1516/0745","Jens","Artikel 4.3.2. en 4.3.3. DABM"
"1516/0745","Jens","Beoordeling screeningsnota"
"1516/0745","Jens","Bijlage III-project"
"1516/0745","Jens","Project-"
"1516/0745","Jens","Mer-screeningsnota aanwezig"
"1516/0745","Jens","afdoende beoordeling"
"1516/0745","Jens","maakt zich de beoordeling eigen- "
"1516/0745","Jens","Voorwaardelijk gunstig advies "
"1516/0745","Jens","Aquafin"
"1516/0745","Jens","Geen aanzienlijke effecten te verwachten"
"1516/0745","Jens","Project-"
"1516/0745","Jens","Mer niet vereist"
"1516/0745","Jens","Niet foutief of kennelijk onzorgvuldig"
"1516/0745","Jens","Artikel 4.2.19 VCRO"
"1516/0745","Jens","Opleggen van voorwaarden –"
"1516/0745","Jens","Archeologieonderzoek"
"1516/0745","Jens","geen belang bij middelenonderdeel"
"1516/0745","Jens","Kennelijk onrechtmatig beroep"
"1516/0745","Jens","Verworpen ["
"1516/0745","Jens","Navigator]"
"1617/0040","Jens","Samenhang met 1516/0745 en 1718/0122SBV uitbreiding gemeentehuis"
"1617/0040","Jens","Vernietiging voor de duidelijkheid in het rechtsverkeer"
"1617/0040","Jens","nieuwe vergunning bekomen"
"1617/0040","Jens","Uitdrukkelijke verzaking naar aanleiding van ambtshalve vraag op zitting ["
"1617/0040","Jens","Navigator]"
"1617/0040","Jens","kosten TSKP"
"1718/0122","Jens","Samenhang met 1516/0745 en 1617/0040"
"1718/0122","Jens","Verwerping vernietiging"
"1718/0122","Jens","Ongegrond "
"1718/0122","Jens","Aktename melding exploitatie ingedeelde inrichting klasse 3"
"1718/0122","Jens","Bronbemaling"
"1718/0122","Jens","Onjuiste omschrijving geschonden geachte bepalingen"
"1718/0122","Jens","Materiële vergissing"
"1718/0122","Jens","niet onontvankelijk"
"1718/0122","Jens","Exceptie verworpen ["
"1718/0122","Jens","Navigator] –"
"1718/0122","Jens","Uitbreidingen in WAN geweerd"
"1718/0122","Jens","MO1: "
"1718/0122","Jens","Artikel 140 OVD"
"1718/0122","Jens","Onduidelijk hoe ev. onregelmatigheid onwettigheid BB aantast"
"1718/0122","Jens","bekendmaking melding correct aangeplakt ["
"1718/0122","Jens","Navigator]MO2"
"1718/0122","Jens","Voorwerp van aanvraag niet uitgebreid MO3"
"1718/0122","Jens","Artikel 136"
"1718/0122","Jens","volledigheid en juistheid meldingsdossier"
"1718/0122","Jens","geen sanctie voorzien"
"1718/0122","Jens","slechts onwettig voor zover de overheid misleid m.b.t. elementen die beslissend zijn voor aktename ["
"1718/0122","Jens","Navigator] –vage kritieken"
"1718/0122","Jens","stelplicht VZP"
"1718/0122","Jens","Type bemaling"
"1718/0122","Jens","uitbreiding middel"
"1718/0122","Jens","onontvankelijk"
"1718/0122","Jens","actueel belang"
"1718/0122","Jens","Bemalingswerken voltooid –slechts onwettig voor zover misleiding"
"1718/0122","Jens","Geen misleiding "
"1718/0122","Jens","Artikel 33 DBRC-"
"1718/0122","Jens","Decreet"
"1718/0122","Jens","RPV"
"1718/0122","Jens","Kosten ten laste van in het ongelijk gestelde partij"
"1718/0122","Jens","basisbedrag ["
"1718/0122","Jens","Navigator]"
"1718/0022","Jens","Vernietiging artikel 4.7.21"
"1718/0022","Jens","4.7.23 VCRO"
"1718/0022","Jens","Onontvankelijkheid administratief beroep"
"1718/0022","Jens","Derden-belanghebbenden"
"1718/0022","Jens","Hinder en nadelen"
"1718/0022","Jens","Zeer algemene beschrijving van het belang"
"1718/0022","Jens","Geen loutere actio popularis"
"1718/0022","Jens","Vrees voor problemen met waterhuishouding ["
"1718/0022","Jens","Navigator"
"1718/0022","Jens","randnr. 4]"
"1617/0343","Thibault","Verwerping vernietiging"
"1617/0343","Thibault","Ongegrond "
"1617/0343","Thibault","Weigeringsbeslissing regulariseren van een schuilhok"
"1617/0343","Thibault","M1: "
"1617/0343","Thibault","Artikel 4.7.21, §2, 2° VCRO"
"1617/0343","Thibault","ontvankelijkheid"
"1617/0343","Thibault","derden-belanghebbenden"
"1617/0343","Thibault","Hinder en nadelen"
"1617/0343","Thibault","herstelbeslissing"
"1617/0343","Thibault","visuele hinder["
"1617/0343","Thibault","Navigator]"
"1617/0343","Thibault","zorgvuldig onderzoek van de ontvankelijkheid en afdoende motivering"
"1617/0343","Thibault","terecht ontvankelijk.M2: "
"1617/0343","Thibault","Artikel 4.7.23, §1, eerste lid VCRO"
"1617/0343","Thibault","Hoorplicht"
"1617/0343","Thibault","Plaatsbezoek PSA dient niet op tegensprekelijke wijze te geschieden"
"1617/0343","Thibault","Kennis van PSA-verslag voor zitting"
"1617/0343","Thibault","Pas kennis van plaatsbezoek met BB –"
"1617/0343","Thibault","Nuttig horen/verdedigen"
"1617/0343","Thibault","De hoorplicht reikt niet zo ver dat de vergunningverlenende overheid de verplichting zou hebben om aan degene die heeft verzocht om te worden gehoord, de gelegenheid te geven om na de hoorzitting nog een schriftelijke nota op te maken over de bespreking op de hoorzitting ["
"1617/0343","Thibault","Navigator]M3: "
"1617/0343","Thibault","Artikelen 11.4.1 en 15.4.6.1 "
"1617/0343","Thibault","Inrichtingsbesluit"
"1617/0343","Thibault","LWAG"
"1617/0343","Thibault","toetsing aan 2-voudig criterium"
"1617/0343","Thibault","Esthetisch criterium"
"1617/0343","Thibault","Verdere aantasting van het landschap"
"1617/0343","Thibault","oneigenlijk gebruik is niet determinerend (overtollig) motief"
"1617/0343","Thibault","schuilhok als bijkomend gebouw"
"1617/0343","Thibault","vergund karakter van bestaande stal maakt niet dat de stal niet beschouw zou kunnen worden als vreemd aan het landschap –"
"1617/0343","Thibault","Niet onjuist of kennelijk onredelijk ["
"1617/0343","Thibault","Navigator]"
"1617/0343","Thibault","Afdoende motivering"
"1617/0343","Thibault","Andersluidend oordeel in 1ste aanleg"
"1617/0343","Thibault","Devolutieve werking "
"1617/0343","Thibault","Verzoek om RPV afgewezen"
"1617/0343","Thibault","Wijzigingsdecreet nog niet van toepassing. ["
"1617/0343","Thibault","Navigator]"
"1617/0366","Michelle","Samenhang met 1617/0370"
"1617/0366","Michelle","Ongegrond"
"1617/0366","Michelle","Verbouwing zonevreemde woning"
"1617/0366","Michelle","Hoofdzakelijk vergund karakter"
"1617/0366","Michelle","Vermoeden van vergunning"
"1617/0366","Michelle","Functie ‘wonen’"
"1617/0366","Michelle","Opname in vergunningsregister "
"1617/0366","Michelle","Beoordeling goede RO"
"1617/0366","Michelle","Bestaande toestand"
"1617/0366","Michelle","Niet onredelijk"
"1617/0366","Michelle","Andersluidend PSA-verslag"
"1617/0366","Michelle","Afdoende weerlegd"
"1617/0370","Michelle","Samenhang met 1617/0366"
"1617/0370","Michelle","Ongegrond"
"1617/0370","Michelle","Verbouwing zonevreemde woning"
"1617/0370","Michelle","Hoofdzakelijk vergund karakter"
"1617/0370","Michelle","Vermoeden van vergunning"
"1617/0370","Michelle","Functie ‘wonen’"
"1617/0370","Michelle","Opname in vergunningsregister "
"1617/0370","Michelle","Beoordeling goede RO"
"1617/0370","Michelle","Bestaande toestand"
"1617/0370","Michelle","Niet onredelijk"
"1516.0639","Ingrid","Vernietiging "
"1516.0639","Ingrid","Artikel 4.7.1.VCRO"
"1516.0639","Ingrid","Artikel 3 "
"1516.0639","Ingrid","Besluit 5 mei 2000"
"1516.0639","Ingrid","Toepassing gewone procedure"
"1516.0639","Ingrid","Bijzondere procedure is uitzonderingsprocedure en dient stikt geïnterpreteerd te worden"
"1516.0639","Ingrid","Werken van algemeen belang"
"1516.0639","Ingrid","Betwisting over beperkte ruimtelijke impact"
"1516.0639","Ingrid","kwalificatie als gemeentelijke weg"
"1516.0639","Ingrid","Besluit gemeenteraad"
"1516.0639","Ingrid","Bijkomende voorzieningen (parking, groen etc…) vormen een aanhorigheid"
"1516.0639","Ingrid","Omvang wadi"
"1516.0639","Ingrid","Wandel en fietspaden onder artikel 3/1, 3° "
"1516.0639","Ingrid","Besluit"
"1516.0639","Ingrid","Motivering niet onjuist of kennelijk onredelijk. ["
"1516.0639","Ingrid","Navigator"
"1516.0639","Ingrid","nieuwe rechtspraak ]"
"1516.0639","Ingrid","Artikel 4. 2. 19 VCRO –"
"1516.0639","Ingrid","Opleggen voorwaarden"
"1516.0639","Ingrid","Voorwaarde niet voldoende precies"
"1516.0639","Ingrid","Geen planaanpassingen"
"1516.0639","Ingrid","Ontoelaatbare beoordelingsruimte voor aanvrager"
"1516.0639","Ingrid","Gebrek aan duidelijke instructie"
"1516.0639","Ingrid","Onduidelijk inplanting"
"1516.0639","Ingrid","Verdwijnen wadi"
"1516.0639","Ingrid","gegrond ["
"1516.0639","Ingrid","Navigator]"
"1516.0639","Ingrid","Beschermingsbesluit"
"1516.0639","Ingrid","Gunstig advies agentschap OE –"
"1516.0639","Ingrid","Geen strijdigheid met beschermingsbesluit aangetoond"
"1516.0639","Ingrid","Verwijzing naar "
"1516.0639","Ingrid","Rv"
"1516.0639","Ingrid","S –arrest in dezelfde zin –"
"1516.0639","Ingrid","Afdoende motivering in het licht van de bezwaren"
"1617/0286","Ingrid","Vernietiging"
"1617/0286","Ingrid","Ontvankelijkheid beroep"
"1617/0286","Ingrid","Belang VZ"
"1617/0286","Ingrid","Pen"
"1617/0286","Ingrid","Eerste VZP"
"1617/0286","Ingrid","Artikel 4.8.11, §1, eerste lid 3° VCRO"
"1617/0286","Ingrid","Derde belanghebbende"
"1617/0286","Ingrid","Eigenaar loods in beschermd dorpsgezicht"
"1617/0286","Ingrid","Waardevermindering eigendom"
"1617/0286","Ingrid","ontvankelijk"
"1617/0286","Ingrid","Tweede VZP"
"1617/0286","Ingrid","Artikel 4.8.11, §1, eerste lid, 4°"
"1617/0286","Ingrid","Procesbekwame vereniging"
"1617/0286","Ingrid","geografisch beperkt werkingsgebied"
"1617/0286","Ingrid","Geen actio popularis"
"1617/0286","Ingrid","Duurzame en effectieve werking"
"1617/0286","Ingrid","Cassatieberoep "
"1617/0286","Ingrid","Rv"
"1617/0286","Ingrid","S [navigator]"
"1617/0286","Ingrid","Voorwerp van de vordering"
"1617/0286","Ingrid","Afsplitsing m.o.o gedeeltelijke vernietiging"
"1617/0286","Ingrid","Afsluitingen vormen geen onlosmakelijk geheel"
"1617/0286","Ingrid","Geen bezwaar VZP ["
"1617/0286","Ingrid","Navigator]"
"1617/0286","Ingrid","Belang bij het middel"
"1617/0286","Ingrid","Exceptie in laatste schriftelijke uiteenzetting"
"1617/0286","Ingrid","Verworpen"
"1617/0286","Ingrid","Besluit dossiersamenstelling"
"1617/0286","Ingrid","Beschermingsbesluit"
"1617/0286","Ingrid","Onvolledigheid van de plannen"
"1617/0286","Ingrid","Geen betwisting over onvolledigheid aanvraagdossier"
"1617/0286","Ingrid","Beschermd dorpsgezicht"
"1617/0286","Ingrid","Geen vermelding van beschermde spoorlijn"
"1617/0286","Ingrid","Geen zorgvuldig onderzoek"
"1617/0286","Ingrid","Niet uitgesloten dat men niet met kennis van zaken heeft kunnen beslissen. ["
"1617/0286","Ingrid","Navigator]"
"1617/0652","Ingrid","Vernietiging"
"1617/0652","Ingrid","Artikelen 16 en 3 PB"
"1617/0652","Ingrid","Ontvankelijkheid hoedanigheid van de VZP"
"1617/0652","Ingrid","Betwisting inzake besluit tot in rechte treden"
"1617/0652","Ingrid","RP vertegenwoordigd door raadsman"
"1617/0652","Ingrid","vermoeden"
"1617/0652","Ingrid","VZP brengen stukken bij ingevolge betwisting ["
"1617/0652","Ingrid","Navigator]"
"1617/0652","Ingrid","Artikel 4.7.1.VCRO"
"1617/0652","Ingrid","Artikel 3 "
"1617/0652","Ingrid","Besluit 5 mei 2000"
"1617/0652","Ingrid","Toepassing gewone procedure"
"1617/0652","Ingrid","Bijzondere procedure is uitzonderingsprocedure en dient stikt geïnterpreteerd te worden"
"1617/0652","Ingrid","Werken van algemeen belang"
"1617/0652","Ingrid","Ambtshalve vaststelling dat rioleringswerken zijn vrijgesteld"
"1617/0652","Ingrid","Aanhorigheden ["
"1617/0652","Ingrid","Navigator]. "
"1617/0652","Ingrid","Artikel 2 en 42 van het "
"1617/0652","Ingrid","Gemeentedecreet"
"1617/0652","Ingrid","Artikel 4.2.25 VCRO"
"1617/0652","Ingrid","Geen beslissing over de zaak van de wegen"
"1617/0652","Ingrid","weguitrusting en alle aanhorigheden"
"1617/0652","Ingrid","Impliciete opheffing weg"
"1617/0652","Ingrid","Aanleg nieuw fietspad als aanhorigheid"
"1617/0652","Ingrid","Geen loutere onderhoudswerken ["
"1617/0652","Ingrid","Navigator]"
"1617/0652","Ingrid","Gegrond"
"1617/0652","Ingrid","Artikel 4.3.1. §2 VCRO en artikel 1.1.4. VCRO"
"1617/0652","Ingrid","Opsplitsen project al dan niet kunstmatig"
"1617/0652","Ingrid","Geen beperking inspraakmogelijkheden derden-belanghebbenden"
"1617/0652","Ingrid","Kennis van totaalproject"
"1617/0652","Ingrid","Verenigbaarheid goede RO afdoende beoordeeld in het licht van de bezwaren"
"1617/0652","Ingrid","Geen misleiding over omvang van de aanvraag"
"1617/0652","Ingrid","Geen onwettige saucissonering"
"1617/0652","Ingrid","Geen vernietigingsmiddel over openbaar onderzoek"
"1617/0652","Ingrid","Niet aangetoond dat beschermingsbesluit wordt aangetast door gefaseerde aanpak"
"1617/0652","Ingrid","Globale beoordeling niet onmogelijk [navigator] "
"1617/0652","Ingrid","Artikel 33 DBRC-"
"1617/0652","Ingrid","Decreet"
"1617/0652","Ingrid","Kosten"
"1617/0652","Ingrid","Toekennen RPV"
"1617/0652","Ingrid","Basisbedrg"
"1516/0673","Lore","Verwerping vernietiging"
"1516/0673","Lore","Ongegrond "
"1516/0673","Lore","Weigeringsbeslissing regularisatie zonnepanelen in natuurgebied. "
"1516/0673","Lore","Artikel 4.3.1, §1, eerste lid, 1° VCRO"
"1516/0673","Lore","Strijdigheid met bestemmingsvoorschriften"
"1516/0673","Lore","Artikel 13.4.3.1. "
"1516/0673","Lore","Inrichtingsbesluit"
"1516/0673","Lore","Natuurgebied"
"1516/0673","Lore","Afwijkingsmogelijkheid"
"1516/0673","Lore","Artikel 4.4.9. VCRO"
"1516/0673","Lore","Geen vergunning mogelijk overeenkomstig vergelijkbare standaardtypebepaling"
"1516/0673","Lore","Geen instandhouden of herstel van natuur"
"1516/0673","Lore","bestendigen residentieel karakter doet afbreuk aan natuurbestemming ["
"1516/0673","Lore","Navigator (randnr. 5)]"
"1516/0524","Patrick","Samenhang met 1516/0507"
"1516/0524","Patrick","Vernietiging SBV onder vwden  tandartsenpraktijk met woning en zorgflat"
"1516/0524","Patrick","Artikel 4.8.11, §1, lid 1, 3° VCRO"
"1516/0524","Patrick","Ontvankelijkheid"
"1516/0524","Patrick","Belang VZP"
"1516/0524","Patrick","Derde –belanghebbende"
"1516/0524","Patrick","Hinder en nadelen voldoende aannemelijk"
"1516/0524","Patrick","Aantasting woon –en leefomgeving"
"1516/0524","Patrick","verminderde lichtinval"
"1516/0524","Patrick","privacy"
"1516/0524","Patrick","inkijk "
"1516/0524","Patrick","Artikel 15 PB"
"1516/0524","Patrick","Uiteenzetting van middelen"
"1516/0524","Patrick","Uitdrukkelijke vermelding van bepalingen of beginselen niet vereist"
"1516/0524","Patrick","Voldoend duidelijk"
"1516/0524","Patrick","Verenigbaarheid met stedenbouwkundige voorschriften"
"1516/0524","Patrick","Afwijking verkavelingsvoorsschriften"
"1516/0524","Patrick","Artikel 4.4.1. VCRO"
"1516/0524","Patrick","trappen 80 cm en uitkragend gedeelte 75 cm buiten bebouwbare oppervlakte"
