"Nr_Arrest","naam","Trefwoorden"
"1617/0103","Claire","Mobiliteitshinder"
"1617/0103","Claire"," Verkeersonveiligheid Parkgebied "
"1617/0103","Claire","Al dan niet zonevreemde functiewijziging "
"1617/0103","Claire","Vergunningsplichtig"
"1617/0103","Claire"," Andersluidend PSA-verslag "
"1617/0103","Claire","Artikel 2 Besluit (Vergunningsplicht) Functiewijzigingen "
"1617/0103","Claire","Houden van paarden "
"1617/0103","Claire","Functiecategorie “recreatie” "
"1617/0103","Claire","Begrip “Recreatie” in spraakgebruikelijke betekenis "
"1617/0103","Claire","Geen onderscheid naar diverse recreatievormen"
"1617/0103","Claire"," Hoofdfunctie wordt niet gewijzigd "
"1617/0103","Claire","Woningbijgebouw "
"1617/0103","Claire","Geen functiewijziging.[Navigator ]Artikel 4.4.23 VCRO "
"1617/0103","Claire","Complementaire functie kantoorgebouwen –Artikel 3 Besluit Zonevreemde Functiewijzigingen "
"1617/0103","Claire","Maximale vloeroppervlakte van 100m²"
"1617/0103","Claire"," Woonfunctie moet groter blijven "
"1617/0103","Claire","Andersluidend PSA-verslag "
"1617/0103","Claire","Geen beoordeling van oppervlakte woonfunctie "
"1617/0103","Claire","oppervlakte kantoorfunctie groter dan 100m², sanitaire ruimtes voor gedeeld gebruik meegerekend "
"1617/0103","Claire","Verstrengde motiveringsplicht "
"1617/0103","Claire","Niet afdoende motivering.Beoordeling verenigbaarheid met GRO "
"1617/0103","Claire","Andersluidend PSA-verslag "
"1617/0103","Claire","Verstrengde motiveringsplicht "
"1617/0103","Claire","Inpasbaarheid paardenstallen en ontbreken advies wegbeheerder "
"1617/0103","Claire","Belang bij het middel "
"1617/0103","Claire","Niet afdoende motivering mobiliteit i.k.v. kantoorfunctie "
"1617/0103","Claire","Niet afdoende motivering verenigbaarheid met de onmiddellijke omgeving wat betreft de paardenstallen –Besluit Adviesinstanties "
"1617/0103","Claire","Geen advies wegbeheerder vereist."
"1617/0138","Claire","Gegrond Verbouwen en renoveren van bestaande opslag en stockagehal, bijbouwen van opslag en stockagehal met demonstratieruimtes, omgevingsaanleg en regularisatie woning Artikel 4.8.11, §1, eerste lid, 3° VCRO "
"1617/0138","Claire","Ontvankelijkheid "
"1617/0138","Claire","derden-belanghebbenden "
"1617/0138","Claire","Hinder en nadelen aannemelijk "
"1617/0138","Claire","Visuele hinder "
"1617/0138","Claire","Verdubbeling bestaande volume "
"1617/0138","Claire","Mobiliteitshinder –Onduidelijkheid over ontsluiting. Betwisting kwalificatie als kleinbedrijf "
"1617/0138","Claire","Artikelen 5.1.0. (Woongebied) en 6.1.2.2. Inrichtingsbesluit (Woongebied met landelijk karakter)"
"1617/0138","Claire","  Dubbele voorwaarde "
"1617/0138","Claire","bestaanbaarheid met bestemming + Verenigbaar met de onmiddellijke omgeving-  Aard en omvang van het bedrijf "
"1617/0138","Claire"," Intrinsiek hinderlijk karakter "
"1617/0138","Claire","project als geheel "
"1617/0138","Claire","Andere beoordeling dan GRO [Navigator]"
"1617/0138","Claire","  Andersluidend PSA-verslag "
"1617/0138","Claire","Verstrengde motiveringsplicht "
"1617/0138","Claire","Toetsing van de kwalificatie als kleinbedrijf ontbreekt "
"1617/0138","Claire","Niet afdoende onderzocht en gemotiveerd –Motivering post factum "
"1617/0138","Claire","Schending Inrichtingsbesluit, Motiveringsplicht en zorgvuldigheidsbeginsel. Artikel 8, §§ 1 en 2 DIWB "
"1617/0138","Claire","Watertoets "
"1617/0138","Claire"," Schadelijke effecten "
"1617/0138","Claire","Andersluidend PSA-verslag "
"1617/0138","Claire","Bufferen i.p.v. infiltreren "
"1617/0138","Claire"," Niet afdoende motivering "
"1617/0138","Claire","Motivering post factum "
"1617/0138","Claire","Schending Hemelwaterverordening"
"1718/0297","Ben","Schorsing SBV aanleg van weef- en spitsstroken ter vervanging van pechstroken aan weerszijden van de E40Art. 4.8.11, §1, eerste lid, 3° VCRO"
"1718/0297","Ben"," Ontvankelijkheid "
"1718/0297","Ben","Belang en hoedanigheid VZP’en Derde "
"1718/0297","Ben","belanghebbende "
"1718/0297","Ben","Hinder en nadelen "
"1718/0297","Ben","Impact op leefmilieu aannemelijk "
"1718/0297","Ben","MobiliteitshinderArt. 4.8.11, §1, eerste lid, 4° VCRO"
"1718/0297","Ben"," Ontvankelijkheid "
"1718/0297","Ben","Belang en hoedanigheid VZP’en "
"1718/0297","Ben","Procesbekwame vereniging die collectief belang nastreeft overeenkomstig haar statuten.Voor de schorsingsprocedure volstaat het dat één van de VZPen belang heeft Art. 40, §1 DBRC- Decreet "
"1718/0297","Ben"," Hoogdringendheid "
"1718/0297","Ben","Impact op de luchtkwaliteit"
"1718/0297","Ben","  Start van de werken "
"1718/0297","Ben","Werkplanning niet betwist "
"1718/0297","Ben","Uitspraak in vernietigingsprocedure kan niet worden afgewacht. [Navigator]Ernstige middelen Artikel 4.3.2, §2bis DABM "
"1718/0297","Ben","Toetsing aan criteria in bijlage II bij DABM"
"1718/0297","Ben","  Project-MER-screeningsnota "
"1718/0297","Ben","onzorgvuldig onderzoek "
"1718/0297","Ben","Onvoldoende rekening gehouden met kenmerken omgeving en mogelijke milieu-effecten (luchtkwaliteit)  "
"1718/0297","Ben","Erkende cumulatieve effecten met andere projecten niet onderzocht Gelet op concreet bezwaar was des te zorgvuldiger onderzoek vereist [navigator]Artikel 46 DBRC-decreet "
"1718/0297","Ben"," Verzoek tot anonimisering ingewilligd"
"1617/0528","Laura","Afstand –Kosten"
"1516/0416","Tariq","Gegrond Verkavelingsvergunning "
"1516/0416","Tariq","Herstelbeslissing Gemeentelijke bouwverordening"
"1516/0416","Tariq"," Artikel 4.4.1, §1 VCRO "
"1516/0416","Tariq","MO1: Minimale breedte zijtoonstrook"
"1516/0416","Tariq","  Motivering beperkte afwijking. MO2: Afstanden tot de zijdelingse perceelsgrens "
"1516/0416","Tariq","Geen bestemmingsvoorschriften, maar inrichtingsvoorschriften "
"1516/0416","Tariq","Beperkte afwijking op basis van 4.4.1 VCRO mogelijkMO3: Beperkt karakter van de afwijking van afstanden zijdelingse perceelsgrens "
"1516/0416","Tariq","Gezag van gewijsde "
"1516/0416","Tariq","Niet kennelijk onredelijk "
"1516/0416","Tariq","Afdoende motivering i.k.v. artikel 4.4.1 VCRO- Beoordeling GRO "
"1516/0416","Tariq","Geen schending onpartijdigheidsbeginsel M2: Kritiek op dakvorm mist feitelijke grondslag"
"1516/0416","Tariq"," Minimale breedte van parkeerplaatsen miskend "
"1516/0416","Tariq","Uit de bestreden beslissing blijkt niet dat een beperkte afwijking werd verleend- Schending motiveringsplicht. M3 Artikel 4.7.23, §1 "
"1516/0416","Tariq","Eensluidend PSA-verslag "
"1516/0416","Tariq","Aanvullende nota en replieknota "
"1516/0416","Tariq","afdoende motivering"
"1516/0539","Claire","Gegrond SBV verbouwen en uitbreiden showroom van bestaand garagebedrijf in woongebied Verzoek tot heropening debatten "
"1516/0539","Claire","AfgewezenArtikel 4.8.11, §1, 3° VCRO"
"1516/0539","Claire"," Ontvankelijkheid "
"1516/0539","Claire","Belang VZP "
"1516/0539","Claire","derden-belanghebbenden –Hinder en nadelen "
"1516/0539","Claire","Verhoging van garage-activiteiten "
"1516/0539","Claire","Bijkomende parkeer- en mobiliteitshinder voldoende aannemelijk [Navigator –concrete beoordeling]Artikel 4.3.1, §1, 1° a) VCRO "
"1516/0539","Claire","Verenigbaarheid met stedenbouwkundige voorschriften "
"1516/0539","Claire","Artikel 5.1.0. Inrichtingsbesluit "
"1516/0539","Claire","Bestaanbaarheid met woongebied "
"1516/0539","Claire","Aard en omvang van de activiteiten "
"1516/0539","Claire","Specifieke kenmerken van de onmiddellijke omgeving "
"1516/0539","Claire","Totaliteit van het garagebedrijf in de beoordeling betrekken "
"1516/0539","Claire","Hinderaspecten niet concreet en zorgvuldig onderzocht "
"1516/0539","Claire","Geen afdoende motivering "
"1516/0539","Claire","Tegenstrijdige motieven [Navigator] "
"1516/0539","Claire","Beperkte uitbreiding met invloed op de parkeerproblematiek. Geen ruimere vernietiging"
"1516/0557","Tariq","Samengevoegd met 1617/0728TA-Heropening debatten"
"1516/0557","Tariq"," Ambtshalve vraag naar belang en bevoegdheid Artikelen 15 DBRC-decreet en 11, lid 2 PB "
"1516/0557","Tariq","Samenvoeging van zaken "
"1516/0557","Tariq","[Navigator]"
"1516/0557","Tariq"," SBV wijzigen vergunde verkaveling Heropening debatten "
"1516/0557","Tariq","Wettigheid intrekkingsbeslissing heeft invloed op belang bij beroep I- Intrekkings- en weigeringsbeslisisng vernietigd door Minister i.k.v. algemeen bestuurlijk toezicht "
"1516/0557","Tariq","Artikel 4.8.2. VCRO "
"1516/0557","Tariq","BB in zaak I en  BB in zaak II zijn vergunningbeslissingen "
"1516/0557","Tariq","Vraag naar bevoegdheid minister om vergunningsbeslissing te vernietigen n.a.l.v. algemeen toezicht, evenals bevoegdheid van de Raad"
"1617/0728","Tariq","Samengevoegd met 1516/0557TA –Heropening debatten "
"1617/0728","Tariq","Ambtshalve vraag naar belang en bevoegdheid Intrekking SBV wijzigen vergunde verkaveling en weigeringsbeslissing "
"1617/0728","Tariq"," Idem voorgaande arrest, gelet op samenvoeging."
"1516.0448","Saartje","Ongegrond Weigering regularisatie meergezinwoningWijziging aantal woongelegenheden zonder vergunning "
"1516.0448","Saartje","Al dan niet voor 1 mei 2000 "
"1516.0448","Saartje","Bewijstlast VZP "
"1516.0448","Saartje","geen duidelijkheid over vergunningstoestand "
"1516.0448","Saartje","terugbrengen van 3 naar 2 woonentiteiten, zodat van vergund geacht karakter geen sprake kan zijn Art. 2.3.1 VCRO "
"1516.0448","Saartje","De gemeente kan een stedenbouwkundige verordening uitvaardigen inzake woonkwaliteit en parkeernormen "
"1516.0448","Saartje","minimumnormen inzake gezondheid, de fraaiheid en de esthetische waarde van de betrokken woningen, alsook hun bewoonbaarheid –Inpasbaar in artikel 2.3.1 VCRO"
"1617/0826","Laura","Afstand van geding vernietigingsberoep VZP"
"1617/0826","Laura"," Opheffing UDN-Schorsing"
"1617/0826","Laura","Kosten"
"1617/0378","Katrien W.","Afstand van geding"
"1617/0383","Saartje","Afstand van geding"
"1314/0543","Patrick","Verwerping vernietiging "
"1314/0543","Patrick","Onontvankelijk Regularisatie beperkte wijziging van inplanting ééngezinswoning Ontvankelijkheid"
"1314/0543","Patrick","  Belang VZP’en"
"1314/0543","Patrick"," Louter procedureel belang volstaat niet "
"1314/0543","Patrick","Louter nastreven van wettigheid is geen persoonlijk belang "
"1314/0543","Patrick","Het louter eigenaarschap volstaat niet "
"1314/0543","Patrick","De RP toont de waardevermindering niet aan "
"1314/0543","Patrick","Ambtshalve vraag naar causaal verband tussen ingeroepen hinder en nadelen en de BB"
"1314/0543","Patrick","  Geen regularisatie van reliëfwijziging "
"1314/0543","Patrick","Geen waardevermindering of genotsderving door ophoging "
"1314/0543","Patrick","Inplanting van de woning "
"1314/0543","Patrick","Lichtinval "
"1314/0543","Patrick","Wateroverlast "
"1314/0543","Patrick","Niet als gevolg van geringe overschrijding (vrij streng) "
"1314/0543","Patrick","Niet aangetoond dat er hinder is door de basisvergunning "
"1314/0543","Patrick","Waardevermindering door beperkte afwijking niet aangetoond."
"1516/0164","","Tussenarrest Artikel 42, §1 DBRC-Decreet "
"1516/0164","","100, §3 PB"
"1516/0164",""," Verlenging bemiddeling "
"1516/0164","","kosten uitgesteld tot AA"
"1617/0376","Heidi","Afstand van geding Kosten S+A: ok"
"1516/0473"," Katrien W.","Verwerping vernietiging "
"1516/0473"," Katrien W.","Ongegrond SBV bouwen loods en betonverharding + regularisatie sleufsilo’s en verbouwen loodsRegelmatigheid rechtspleging"
"1516/0473"," Katrien W."," Artikel 77 "
"1516/0473"," Katrien W.","WA te laat ingediend "
"1516/0473"," Katrien W.","Geweerd [Navigator]M1: Artikel 4.7.18 §1, 1° b en §2 VCRO "
"1516/0473"," Katrien W.","Artikel 4.7.21 VCRO"
"1516/0473"," Katrien W.","  Eerdere stilzwijgende weigeringsbeslissing waartegen geen beroep werd aangetekend sluit een nieuwe vergunning(saanvraag) niet uit. M2: Artikel 4.7.23 VCRO "
"1516/0473"," Katrien W.","Overname eensluidend PSA-verslag "
"1516/0473"," Katrien W.","  Geen verplichting te motiveren waarom het verslag wordt gevolgd. [Suggestie om toe te voegen in TC op p. 19: “De verzoekende partij toont niet aan dat de beoordeling onjuist, dan wel kennelijk onredelijk is.”]Voldoende rekening gehouden met bezwaren "
"1516/0473"," Katrien W.","volstaat dat duidelijk is waarom standpunt niet wordt gevolgdVerenigbaarheid GRO "
"1516/0473"," Katrien W.","Inplanting loods komt ten goede aan het landschap "
"1516/0473"," Katrien W.","Niet kennelijk onredelijkBetwisting vergund karakter "
"1516/0473"," Katrien W.","Geen tegenbewijs aangeleverd. BB niet gebaseerd op foutieve feitelijke gegevens . Hinder door sleufsilo’s niet gestaafd "
"1516/0473"," Katrien W.","Milieuvergunning bekomen en niet aangevochten "
"1516/0473"," Katrien W.","hinder vloeit voort uit exploitatie. M3: Artikel 6 van het besluit van de Vlaamse Regering van 5 mei 2000 tot bepaling van de werken en handelingen die vrijgesteld zijn van het eensluidende advies van de gemachtigde ambtenaar "
"1516/0473"," Katrien W.","Fysieke eenheid"
"1516/0473"," Katrien W.","  Ondanks ontbreken advies geen kennelijk onredelijke uistpraak"
"1617/0266","Jolien","Onontvankelijk Regularisatie bestemmingswijziging van twee woningen naar visverwerkend handelspandArtikel 60 PB "
"1617/0266","Jolien","Verzoek om op de hoogte gehouden te worden "
"1617/0266","Jolien","Geen verzoek tot tussenkomst [Navigator]Ambtshalve onderzoek naar de ontvankelijkheid"
"1617/0266","Jolien","  Artikel 4.8.11, §1, eerste lid 1° VCRO "
"1617/0266","Jolien","Verzoekende partij toont niet aan dat zij aanvrager is van de vergunning Artikel 4.8.11, §1, eerste lid, 3° VCRO "
"1617/0266","Jolien","Ontvankelijkheid "
"1617/0266","Jolien","Derde-belanghebbende "
"1617/0266","Jolien","Hinder en nadelen dienen van stedenbouwkundige aard te zijn "
"1617/0266","Jolien","Louter eigenaarschap/nabuurschap volstaat niet"
"1617/0266","Jolien","  Artikel 4.2.22 VCRO"
"1617/0266","Jolien"," Verzwaring van erfdienstbaarheid voldoet niet, aangezien vergunningen een zakelijk karakter hebben "
"1617/0266","Jolien","Artikel 144 Gw. "
"1617/0266","Jolien","Raad onbevoegd "
"1617/0266","Jolien","Overlast (mobiliteitshinder) "
"1617/0266","Jolien","Persoonlijk karakter van het nadeel niet verduidelijkt (VZP is RP) "
"1617/0266","Jolien","Geen nadeel voor eigen activiteiten of waardevermindering aangevoerd. [Navigator]"
"1516/0465","Lore","Samenhang 1516/0466Vernietiging SBV bouwen 17 woningen Artikel 4.8.11, §1, eerste lid, 3° VCRO "
"1516/0465","Lore","Ontvankelijkheid "
"1516/0465","Lore","Belang "
"1516/0465","Lore","Derde-belanghebbende "
"1516/0465","Lore","Hinder en nadelen aannemelijk "
"1516/0465","Lore","Bouwen tot op de perceelsgrens van aanpalende buur.Artikel 4.2.15, §1 VCRO "
"1516/0465","Lore","Ontbreken van een verkavelingsvergunning"
"1516/0465","Lore","  Definitie verkavelen "
"1516/0465","Lore","Verkavelingsvergunning is niet vereist wanneer eerst wordt gebouwd en dan pas verkocht "
"1516/0465","Lore","Geen uiteenzetting in BB over chronologie tussen bouwen en kopen [Navigator] "
"1516/0465","Lore","Afwijzing verzoek om een PV à GwH te stellen (zie opm.)Verenigbaarheid met GRO "
"1516/0465","Lore","Andersluidend PSA-verslag "
"1516/0465","Lore","Verstrengde motivering "
"1516/0465","Lore","Niet afdoende motivering "
"1516/0465","Lore","Onzorgvuldig onderzoek van in de omgeving bestaande toestand."
"1516/0466","Lore","Samenhang 1516/0465Verwerping vernietiging"
"1516/0466","Lore"," onontvankelijkSBV aanleg wegen, riolering en kunstwerken bij woonerfArtikel 4.8.11, §1, eerste lid, 3° VCRO "
"1516/0466","Lore","Onontvankelijkheid "
"1516/0466","Lore","Belang "
"1516/0466","Lore","Derde belanghebbende "
"1516/0466","Lore","Hinder en nadelen "
"1516/0466","Lore","zaak onder druk "
"1516/0466","Lore","parkeerproblemen "
"1516/0466","Lore","Geen causaal verband tussen hinder en BB (inzake wegeniswerken) "
"1516/0466","Lore","De hinder vindt zijn oorzaak in de bouw van de woningen ."
"1617/0201","Jens","Verwerping vernietiging "
"1617/0201","Jens","Ongegrond Herstelbeslissing "
"1617/0201","Jens","Weigeringsbeslissing SBV slopen handelshuis en bouw appartementsgebouw Overname eensluidend PSA-verslag "
"1617/0201","Jens","Hoorzitting"
"1617/0201","Jens"," Aanvullende nota  "
"1617/0201","Jens","tweede PSA –verslag"
"1617/0201","Jens","Zorgvuldig onderzoek en afdoende motivering"
"1617/0201","Jens","  Uitdrukkelijke verwijzing naar aanvullende nota "
"1617/0201","Jens","Kritiek op overtollige motieven"
"1617/0207","Jona","Verwerping vernietiging "
"1617/0207","Jona","Ongegrond Registratiebeslissing "
"1617/0207","Jona","opname als tuinhuis i.p.v. woning Artikel 4.8.11, § 2 VCRO"
"1617/0207","Jona"," Ontvankelijkheid "
"1617/0207","Jona","Tijdigheid"
"1617/0207","Jona"," Impliciete weigering van opname in vergunningenregister als woning "
"1617/0207","Jona","Betekening vereist"
"1617/0207","Jona"," Artikel 35 decreet openbaarheid van bestuur"
"1617/0207","Jona"," Niet vermelden beroepsmogelijkheden "
"1617/0207","Jona","Termijn van 4 maanden [Navigator]Artikel 4.2.14 VCRO "
"1617/0207","Jona","Vermoeden van vergunning –- Artikel 5.1.3, §§ 1 en 2 VCRO "
"1617/0207","Jona","Opname in vergunningenregister"
"1617/0207","Jona","  Vraag naar vergund (geacht) karakter van de functie "
"1617/0207","Jona","Bewijslast VZP "
"1617/0207","Jona","Vraag naar bijkomend bewijs bewoning onbeantwoord  "
"1617/0207","Jona","Voldaan aan actieve onderzoeksplicht."
"1617/0238","Michelle","Nagelezen door SofieOngegrond Weigeringsbeslissing functiewijziging "
"1617/0238","Michelle","Onverenigbaarheid met goede RO "
"1617/0238","Michelle","Visueel storend "
"1617/0238","Michelle","Niet onredelijk geoordeeldOvertollig motief"
"1617/0249","Thibault","Vernietiging Verkavelingsvergunning 12 kavels Het indienen van een nieuwe (gewijzigde) verkavelingsaanvraag impliceert niet dat verzaakt wordt aan de verworven verkavelingsvergunning [Navigator]Artikel 4.3.1, §1, eerste lid, 1° en 2° VCRO "
"1617/0249","Thibault","Weigering in geval van strijdigheid met stedenbouwkundige voorschriften"
"1617/0249","Thibault"," Artikel 4.2.19, §1 voorwaarden"
"1617/0249","Thibault"," Beperkte planaanpassingen "
"1617/0249","Thibault","Geen substantiële wijziging "
"1617/0249","Thibault","5 kavels onverenigbaar met GRO "
"1617/0249","Thibault","deze kavels worden uit de verkavelingsvergunning gesloten "
"1617/0249","Thibault","Wijziging van de aanvraag, vergunning andere verkaveling "
"1617/0249","Thibault","Geen beperkte planaanpassing [Navigator]"
"1617/0250","Ingrid","Vernietiging SBV Uitbreiding bestaand bedrijf met derde kippenstal, betonverharding en 3 meelsilo’s M1 + 4Verstrengde motiveringsplicht t.a.v. knelpunten eerder vernietigingsarrest"
"1617/0250","Ingrid"," Onbevoegdheid van de Raad om onvergunbaarheid vast te stellen"
"1617/0250","Ingrid"," artikel 37 DBRC-decreet "
"1617/0250","Ingrid","Mogelijkheid om een injunctie op te leggen, voor zover opportuun na beoordeling ten grondeVerenigbaarheid met GRO "
"1617/0250","Ingrid","Mobiliteit "
"1617/0250","Ingrid","Toegangsweg "
"1617/0250","Ingrid","Geen (zorgvuldig) onderzoek [Navigator]-  Geurhinder"
"1617/0250","Ingrid","  Uit de milieuvergunningen blijkt dat de geurconcentratie onaanvaardbaar is "
"1617/0250","Ingrid","Geen (zorgvuldig) onderzoek naar geurhinder.Artikel 4.7.23, § 1, eerste lid VCRO"
"1617/0250","Ingrid"," Andersluidend PSA-verslag "
"1617/0250","Ingrid","Gebrek aan motivering –Injunctie M2: Artikel 4.3.2, §2bis DABM en bijlage II bij het DABM Gezag van gewijsde vernietigingsarrest "
"1617/0250","Ingrid","Geen Mer-screening "
"1617/0250","Ingrid","Injunctie [Navigator]M3: Artikel 8, §§1 en 2 van het decreet Integraal Waterbeleid "
"1617/0250","Ingrid"," Geen watertoets "
"1617/0250","Ingrid","Gebrek aan formele motivering "
"1617/0250","Ingrid","Injunctie"
"1617/0252","Jona","Verwerping vernietiging "
"1617/0252","Jona","Ongegrond Weigering SBV afbraak en bouw meergezinswoning Artikel 4.3.1, §1, 1° b) VCRO "
"1617/0252","Jona","Eensluidend PSA-verslag "
"1617/0252","Jona","Verenigbaarheid met GRO "
"1617/0252","Jona","In de omgeving bestaande toestand"
"1617/0252","Jona","  Watertoets "
"1617/0252","Jona","Bijkomend onderzoek "
"1617/0252","Jona","VZP toont niet aan dat het kennelijk onredelijk is om geen ondergrondse parkeerruimtes toe te laten in overstromingsgevoelig gebied"
"1617/0252","Jona"," Schaalbreuk "
"1617/0252","Jona","Niet foutief of kennelijk onredelijkArtikel 4.7.23 en 4.7.22 VCRO "
"1617/0252","Jona","Idem voorgaande middel inzake watertoetsOvertollige motieven"
"1617/0247","Ben","Verwerping vernietiging "
"1617/0247","Ben","Ongegrond SBV aanleggen van parking en toegangswegSchending artikel 5.1.0 Inrichtingsbesluit "
"1617/0247","Ben","Geen verduidelijking van de schending"
"1617/0247","Ben"," Onontvankelijk middelenonderdeelArtikel 4.3.1., §1, eerste lid, 1°, b) VCRO –Verenigbaarheid met GRO "
"1617/0247","Ben","Artikel 5.3.1, §1, eerste lid VCRO "
"1617/0247","Ben","Stedenbouwkundig attest "
"1617/0247","Ben","Bevindingen kunnen in principe niet worden tegen gesproken of gewijzigd –Gezaghebbend advies "
"1617/0247","Ben","Geen openbaar onderzoek n.a.l.v. stedenbouwkundig attest "
"1617/0247","Ben","nieuwe feiten moeten aan beoordeling worden onderworpen [Navigator (punt 5.)] "
"1617/0247","Ben","Geen verplichting om alternatieve ontsluiting te onderzoeken [ev. navigtor] "
"1617/0247","Ben","Opportuniteitskritiek –Beoordeling niet foutief of kennelijk onredelijk."
"1718/0363","Sacha","Schorsing bevolen SBV fietsostrade, rooien van bomen en houtkant.Artikel 40, §1 DBRC-Decreet"
"1718/0363","Sacha"," Hoogdringendheid in concreto-Geen hoogdringendheid in hoofde van eerste VZP –NV kan geen zintuiglijke hinder leiden "
"1718/0363","Sacha","Niet afdoende uiteengezet waarom de waardevermindering van haar eigendom de hoogdringendheid verantwoord [Navigator]Hoogdringdheid tav. Tweede VZP  "
"1718/0363","Sacha","Verwijzing naar UDN niet nuttig, aangezien andere aanvraag "
"1718/0363","Sacha","Hoogdringende onteigeningsprocedure verantwoord hoogdringendheid i.k.v. schorsingberoep niet "
"1718/0363","Sacha","ernstige (tijdelijke) hinder en nadelen –Aantasting leefomgeving"
"1718/0363","Sacha"," Uitzicht en privacy [navigator]Ernstig middel"
"1718/0363","Sacha","  Artikel 4.2.19 VCRO"
"1718/0363","Sacha"," Opleggen van voorwaarden "
"1718/0363","Sacha","in verhouding staan tot de vergunde handelingen "
"1718/0363","Sacha","voldoende precies zijn "
"1718/0363","Sacha","Meerdere voorwaarden opleggen vormt op zich geen schending van artikel 4.2.19 VCRO "
"1718/0363","Sacha","Voorwaarden zijn niet tegenstrijdig, wel onduidelijkheid over realisatie groenzone "
"1718/0363","Sacha","Voorwaarde uit advies NB genegeerd "
"1718/0363","Sacha","Kennelijk onzorgvuldig "
"1718/0363","Sacha","Voorwaarde aanleg gracht onvoldoende precies [Navigator]Artikel 40, §5, tweede lid DBRC-Decreet"
"1718/0363","Sacha"," Belangenafweging [Navigator]"
"1516/0745","Jens","Samenhang met 1617/0040 en 1718/0122Verwerping vernietiging SBV vernieuwen van weginfrastructuur en aanhorigheden (voetpaden, langsgrachten, parkeerplaatsen, groenzones) en aanleggen van een gescheiden rioleringssysteemArtikel 4.4.7, §1 VCRO "
"1516/0745","Jens","Geen uiteenzetting schending "
"1516/0745","Jens","Middelenonderdeel onontvankelijkAanvulling in WA niet nieuw "
"1516/0745","Jens","Geen toevoeging –Exceptie verworpen.Artikel 4.7.23, § 1 VCRO "
"1516/0745","Jens","Hoorplicht "
"1516/0745","Jens","Nuttig horen "
"1516/0745","Jens","PSA-verslag voor zitting overgemaakt "
"1516/0745","Jens","Mogelijkheid benut om bezwaren kenbaar te maken op de hoorzitting"
"1516/0745","Jens"," Aanvullende nota "
"1516/0745","Jens","Mogelijkheid om eventueel bijkomende opmerkingen te laten gelden niet benut "
"1516/0745","Jens","Geen bijkomende hoorzitting vereist [navigator] –Fairplay-beginsel vereist kwaad opzet [navigator] "
"1516/0745","Jens","Schending hoorplicht en fairplay-beginsel niet aangetoondArtikel 4.2.25 VCRO "
"1516/0745","Jens","Geen nieuwe gemeenteraadsbeslissing over zaak der wegen "
"1516/0745","Jens","Geen verlenging beslissingstermijn "
"1516/0745","Jens","Artikel 10 besluit openbaar onderzoek "
"1516/0745","Jens","Mogelijkheid voor de gemeenteraad om in graad van administratief beroep alsnog een beslissing over de zaak van de wegen te nemen"
"1516/0745","Jens"," Reeds beslissing over zaak van de wegen "
"1516/0745","Jens","instellen administratief beroep tegen de beslissing over de zaak van de wegen, vereist  geen nieuwe beslissing over zaak der wegen [navigator] "
"1516/0745","Jens","schrappen van paviljoenen uit vergunning heeft geen invloed op wegenis- bezwaarschrift vermeld en beantwoord"
"1516/0745","Jens"," M2 MO1: Gebrek aan riolerings- en mobiliteitstudie "
"1516/0745","Jens","onvolledigheid aanvraagdossier "
"1516/0745","Jens","Geen schending van het dossiersamenstellingsbesluit aangevoerd "
"1516/0745","Jens","vergunningverlenende overheid beoordeelt of elementen essentieel zijn om met kennis van zaken te kunnen beslissen "
"1516/0745","Jens","Advies ambtelijke commissie heeft betrekking op subsidie "
"1516/0745","Jens","bijsturing middel in WAN "
"1516/0745","Jens","Advies waterlopen "
"1516/0745","Jens","Geen schadelijke effecten te verwachten "
"1516/0745","Jens","planaanpassingen vereisen geen bijkomend advies "
"1516/0745","Jens","Niet aangetoond dat mobiliteitsstudie vereist is. MO2: onjuiste advisering en gebrek aan voorwaarden i.v.m. zorgplicht archeologie "
"1516/0745","Jens","Middel onontvankelijk wegens onduidelijk en in het algemeen belang "
"1516/0745","Jens","Kan VZP geen voordeel verschaffenMO3: Artikel 4.4.7, §1 VCRO "
"1516/0745","Jens","Artikel 3, §1 van het besluit van 5 mei 2000 –Afwijking bestemming"
"1516/0745","Jens"," Handelingen van algemeen belang met ruimtelijk beperkte impact "
"1516/0745","Jens","Oudere, maar identieke versie"
"1516/0745","Jens"," In concreto beoordeling van de ruimtelijke impact van het aangevraagde niet vereist is [navigator].M3: Artikel 2 Besluit Project-Mer-screening "
"1516/0745","Jens","Gebrek aan verduidelijking van het middel "
"1516/0745","Jens","Uitbreiding middel in WAN "
"1516/0745","Jens","Artikel 4.3.2. en 4.3.3. DABM"
"1516/0745","Jens"," Beoordeling screeningsnota "
"1516/0745","Jens","Bijlage III-project "
"1516/0745","Jens","Project-Mer-screeningsnota aanwezig "
"1516/0745","Jens","afdoende beoordeling "
"1516/0745","Jens"," maakt zich de beoordeling eigen- Voorwaardelijk gunstig advies Aquafin "
"1516/0745","Jens","Geen aanzienlijke effecten te verwachten "
"1516/0745","Jens","Project-Mer niet vereist "
"1516/0745","Jens","Niet foutief of kennelijk onzorgvuldig"
"1516/0745","Jens","Artikel 4.2.19 VCRO "
"1516/0745","Jens","Opleggen van voorwaarden –Archeologieonderzoek "
"1516/0745","Jens","geen belang bij middelenonderdeelKennelijk onrechtmatig beroep "
"1516/0745","Jens","Verworpen [Navigator]"
